sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10
2454.6512014916143,1327.5433132462113,475.84282167775615,0,433.6930779243015,1702.7281726325511,518.9460506075338,1241.500576177817,564.0817068348076,593.5129110080203
2594.798849156473,1392.5962947502476,490.8810813956238,0,433.6930779243015,1793.5135214675906,552.7470968080639,1263.8484530916928,564.0817068348076,615.8607879218962
2685.9387021267326,1436.9557625267237,533.2913808806856,0,455.0844535444882,1821.177045814958,599.6044820656259,1297.3190963548004,564.0817068348076,620.208946616985
2734.7840568676,1558.235130311804,556.5078194555527,0,455.0844535444882,1853.4051885321105,599.6044820656259,1434.1821187864666,564.0817068348076,620.208946616985
2763.2625913248703,1584.918697847759,602.9752294013404,0,455.0844535444882,1867.6444557607456,599.6044820656259,1496.9854856731588,564.0817068348076,620.208946616985
2763.2625913248703,1617.1468405649114,602.9752294013404,0,490.0515240955662,1867.6444557607456,599.6044820656259,1550.6697339355721,564.0817068348076,661.1407670329789
2924.871749702735,1680.231462534414,619.4003669133399,0,501.9810238253978,1889.656186289326,599.6044820656259,1635.4903329056958,576.4650694475831,661.1407670329789
3036.510502716395,1680.231462534414,619.4003669133399,0,501.9810238253978,1912.5273470450848,603.2780724948286,1686.3702958279305,576.4650694475831,661.1407670329789
3133.779527289948,1797.6047538078203,619.4003669133399,0,501.9810238253978,1981.9354524814637,626.1492332505874,1713.0538633638855,591.8963850425371,687.8243345689339
3229.5589163814493,1882.797072278179,645.9347483853235,0,528.6645913613528,2015.846306225348,677.3273938443123,1777.5101487981904,594.3738788473544,687.8243345689339
3303.432703650863,1915.7452880292499,645.9347483853235,0,528.6645913613528,2046.6965725014652,694.2374935686896,1854.834037996328,598.9908324853566,687.8243345689339
3391.2888262669235,1982.1516814128945,675.9462115630272,0,528.6645913613528,2113.8464819176247,729.7047134828091,1854.834037996328,598.9908324853566,736.6696893098015
3520.8024024032648,2013.7530441473443,694.222423187465,0,577.5099461022204,2138.3494519893875,768.4529645305878,1854.834037996328,598.9908324853566,736.6696893098015
3611.5803919592663,2075.4535766995787,694.222423187465,0,577.5099461022204,2179.8211457169396,791.5418131584604,1988.0028807194385,622.0796811132292,736.6696893098015
3649.809535341439,2110.0819935152845,741.7471277678543,0,577.5099461022204,2224.9842972002307,807.5631051610419,2010.8740414751974,630.7681647986816,831.1892579450355
3670.179995428137,2166.0000643399944,741.7471277678543,0,577.5099461022204,2224.9842972002307,807.5631051610419,2142.606137611825,630.7681647986816,875.5643350151926
3687.8082299206026,2231.665489972128,750.5612450140874,0,672.0295147374544,2233.7984144464635,807.5631051610419,2207.5527735104806,630.7681647986816,893.8569530645049
3711.63751379326,2273.13718369968,750.5612450140874,0,749.3528075586823,2239.6453614864317,813.4100522010099,2210.030267315298,630.7681647986816,922.9808219941377
3756.6026630354495,2332.8500950011767,750.5612450140874,0,796.7692945376275,2239.6453614864317,813.4100522010099,2240.880533591415,630.7681647986816,922.9808219941377
3786.541684173211,2380.5019103272625,753.9127886039239,0,801.3862481756297,2257.966415645149,828.3795627698906,2364.7899551491964,630.7681647986816,927.5977756321399
3786.541684173211,2396.4169603932955,753.9127886039239,0,868.4923529966493,2257.966415645149,828.3795627698906,2398.312909864642,630.7681647986816,969.8954479439926
4017.397475685352,2471.3211307732463,753.9127886039239,0,875.6219722788326,2257.966415645149,828.3795627698906,2434.865333113517,630.7681647986816,969.8954479439926
4114.822630712174,2471.3211307732463,753.9127886039239,0,875.6219722788326,2257.966415645149,828.3795627698906,2541.503327572469,630.7681647986816,969.8954479439926
4208.467756401409,2689.7594554964776,753.9127886039239,0,899.344142789436,2372.590658396815,828.3795627698906,2604.3665047771387,660.8117591606067,1002.3061021400484
4246.998849338421,2727.0974217994503,767.9375614016436,0,908.0326264748884,2430.992833325472,828.3795627698906,2604.3665047771387,660.8117591606067,1002.3061021400484
4336.081836988624,2840.9821911662148,767.9375614016436,0,928.4030865615861,2450.258379793978,928.9790327238369,2654.0590934362385,660.8117591606067,1022.6765622267461
4473.282381603018,2879.5132841032264,802.4434486177242,0,942.6057631209629,2484.7642670100586,987.381207652494,2666.1944832289596,660.8117591606067,1036.879238786123
4507.902810390855,2934.090384537348,802.4434486177242,0,942.6057631209629,2553.364539317256,1006.646754121,2774.445835872056,660.8117591606067,1036.879238786123
4550.1692407415885,2934.090384537348,853.77219729847,0,942.6057631209629,2553.364539317256,1006.646754121,2774.445835872056,660.8117591606067,1081.8443880283123
4695.177822269626,2985.419133218094,871.0437209249217,0,987.5709123631523,2553.364539317256,1006.646754121,2774.445835872056,660.8117591606067,1081.8443880283123
4826.208346004014,3037.3110856323833,871.0437209249217,0,987.5709123631523,2669.871591944268,1006.646754121,2774.445835872056,678.6234751547212,1081.8443880283123
4908.7069695689015,3067.3107698397025,929.6344464774245,0,987.5709123631523,2719.3751982386325,1096.2549714957593,2904.702157430251,693.5528308665782,1081.8443880283123
4908.7069695689015,3079.577515983117,929.6344464774245,0,987.5709123631523,2746.888717397991,1141.5802066492329,2988.676175802154,693.5528308665782,1111.8879823902375
4908.7069695689015,3259.546687808568,929.6344464774245,0,1017.6145067250774,2746.888717397991,1141.5802066492329,2988.676175802154,693.5528308665782,1111.8879823902375
4908.7069695689015,3305.7815941057675,929.6344464774245,0,1017.6145067250774,2746.888717397991,1141.5802066492329,3124.5954435701624,693.5528308665782,1135.8706752095275
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1085.5741406090817,2746.888717397991,1141.5802066492329,3193.607218002324,693.5528308665782,1179.8476162742418
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1085.5741406090817,2746.888717397991,1141.5802066492329,3233.749644438406,693.5528308665782,1179.8476162742418
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1105.6453538271228,2746.888717397991,1141.5802066492329,3233.749644438406,693.5528308665782,1199.9188294922828
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1105.6453538271228,2746.888717397991,1141.5802066492329,3370.950189052801,693.5528308665782,1199.9188294922828
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1105.6453538271228,2746.888717397991,1141.5802066492329,3440.191046628476,693.5528308665782,1199.9188294922828
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1105.6453538271228,2746.888717397991,1141.5802066492329,3482.45747697921,693.5528308665782,1234.5392582801205
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1183.284950041627,2746.888717397991,1141.5802066492329,3571.968474857064,693.5528308665782,1277.5584257067871
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1183.284950041627,2746.888717397991,1141.5802066492329,3698.0500807928897,693.5528308665782,1305.3072175318782
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1246.3257530095404,2746.888717397991,1141.5802066492329,3728.2490507324283,693.5528308665782,1354.8108238262428
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1260.5373481610827,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
4908.7069695689015,3386.8446965500248,929.6344464774245,0,1298.8173172183006,2746.888717397991,1141.5802066492329,3778.055164161008,693.5528308665782,1393.0907928834606
